id_congresista	nombres	apellidos	completo	partido	partidos_anteriores	camara	num_votos	tipo_periodo	comision	autorias_aprobadas	ponencias	investigado	genero	posicion_ideologica	dep_circuncripcion	dep_mayor_vot	reemplazo
77	Jorge Enrique	Robledo Castillo	Robledo Castillo, Jorge Enrique	Polo Democrático Alternativo	Movimiento Obrero Independiente Revolucionario - MOIR, Polo Democrático Alternativo	Senado	45703	Titular de la curul	Quinta	1	10		Masculino	1	Circunscripción Nacional	Distrito Capital	nadie
29	Parmenio	Cuellar Bastidas	Cuellar Bastidas, Parmenio	Polo Democrático Alternativo	Polo Democrático Alternativo	Senado	74580	Titular de la curul	Primera	2	64		Masculino	None	Circunscripción Nacional	Nariño	nadie
10	Luis Carlos	Avellaneda Tarazona	Avellaneda Tarazona, Luis Carlos	Polo Democrático Alternativo	Polo Democrático Alternativo, Polo Democrático Independiente, Unidad Democrática	Senado	48939	Titular de la curul	Séptima	1	31		Masculino	0	Circunscripción Nacional	Distrito Capital	nadie
1260	Gloria Inés	Ramírez Ríos	Ramírez Ríos, Gloria Inés	Polo Democrático Alternativo	Polo Democrático Alternativo	Senado	32589	Titular de la curul	Séptima	3	43		Femenino	0	Circunscripción Nacional	Distrito Capital	nadie
14	Jesús Antonio	Bernal Amorocho	Bernal Amorocho, Jesús Antonio	Polo Democrático Alternativo	Movimiento Independiente Frente de Esperanza, Polo Democrático Alternativo	Senado	46298	Titular de la curul	Séptima	1	32	Atención: con resolución de acusación en la Corte Suprema de Justicia  por abuso de confianza	Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
668	Alexander	López Maya	López Maya, Alexander	Polo Democrático Alternativo	Frente Social y Político, Polo Democrático Alternativo	Cámara de Representantes	38530	Titular de la curul	Sexta	0	27		Masculino	0	Circunscripción Territorial de Valle del Cauca	Valle del Cauca	nadie
61	Néstor Iván	Moreno Rojas	Moreno Rojas, Néstor Iván	Polo Democrático Alternativo	Polo Democrático Alternativo	Senado	49331	Titular de la curul	Sexta	4	29		Masculino	None	Circunscripción Nacional	Santander	nadie
48	Jorge Eliécer	Guevara	Guevara, Jorge Eliécer	Polo Democrático Alternativo	Alianza Verde, Movimiento Nacional Progresista, Polo Democrático Alternativo	Senado	26665	Titular de la curul	Sexta	2	23		Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
1	Gabriel	Acosta Bendek	Acosta Bendek, Gabriel	Convergencia Ciudadana	Convergencia Ciudadana, Movimiento Nacional, Movimiento Nacional Conservador	Senado	41159	Titular de la curul	Sexta	0	12		Masculino	None	Circunscripción Nacional	Atlántico	nadie
570	Luis Alberto	Gil Castillo	Gil Castillo, Luis Alberto	Convergencia Ciudadana	Convergencia Ciudadana	Senado	82053	Titular de la curul	Sexta	1	13	Atención: Detenido por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Santander	nadie
692	Juan Carlos	Martínez Sinisterra	Martínez Sinisterra, Juan Carlos	Convergencia Ciudadana	Colombia Democrática, Convergencia Ciudadana, Movimiento de Inclusión y Oportunidades - MIO	Senado	58723	Titular de la curul	Cuarta	0	31	ATENCIÓN:  Investigado por nexos con paramilitares.	Masculino	None	Circunscripción Nacional	Valle del Cauca	nadie
1257	Oscar Josué	Reyes Cárdenas	Reyes Cárdenas, Oscar Josué	Convergencia Ciudadana	Conservador Colombiano, Convergencia Ciudadana	Senado	55556	Titular de la curul		1	37		Masculino	None	Circunscripción Nacional	Santander	nadie
12	Carlos Emiro	Barriga Peñaranda	Barriga Peñaranda, Carlos Emiro	Convergencia Ciudadana	Conservador Colombiano, Convergencia Ciudadana, Liberal Colombiano	Senado	57353	Reemplazo temporal		0	0	Atención: con indagación preliminar dentro del proceso de nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Norte de Santander	nadie
8	Samuel Benjamín	Arrieta Buelvas	Arrieta Buelvas, Samuel Benjamín	Convergencia Ciudadana	Convergencia Ciudadana, Partido de Integración Nacional (PIN)	Senado	24306	Titular de la curul	Primera	4	131		Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
1007	Luis Eduardo	Vives Lacouture	Vives Lacouture, Luis Eduardo	Convergencia Ciudadana	Colombia Viva, Convergencia Ciudadana, Liberal Colombiano, Movimiento Integración Popular MIPOL, Partido Social de Unidad Nacional - Partido de la U	Senado	41735	Titular de la curul	Séptima	0	19		Masculino	None	Circunscripción Nacional	Magdalena	nadie
973	Germán	Vargas Lleras	Vargas Lleras, Germán	Cambio Radical	Cambio Radical, Colombia Siempre, Liberal Colombiano	Senado	55227	Titular de la curul	Primera	6	61	Candidato a la Presidencia en 2010 por el Partido Cambio Radical	Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
834	Rubén Darío	Quintero Villada	Quintero Villada, Rubén Darío	Cambio Radical	Cambio Radical, Coalición, Liberal Colombiano	Cámara de Representantes	37611	Titular de la curul	Tercera	3	41	Atención: detenido por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Territorial de Antioquia	Antioquia	nadie
16	Javier Enrique	Cáceres Leal	Cáceres Leal, Javier Enrique	Cambio Radical	Cambio Radical, Liberal Colombiano, Sin Corrupción Colombia Liberal	Senado	41527	Titular de la curul	Segunda	0	21		Masculino	None	Circunscripción Nacional	Bolívar	nadie
49	Nancy Patricia	Gutiérrez Castañeda	Gutiérrez Castañeda, Nancy Patricia	Cambio Radical	Cambio Radical, Colombia Siempre, Liberal Colombiano	Cámara de Representantes	23610	Titular de la curul	Primera,Primera	1	61		Femenino	None	Circunscripción Territorial de Cundinamarca	Cundinamarca	nadie
21	Arturo	Char Chaljub 	Char Chaljub , Arturo	Cambio Radical	Cambio Radical	Senado	61634	Titular de la curul	Quinta	1	20		Masculino	None	Circunscripción Nacional	Atlántico	nadie
724	Reginaldo Enrique	Montes Álvarez 	Montes Álvarez , Reginaldo Enrique	Cambio Radical	Cambio Radical, Liberal Colombiano	Cámara de Representantes	43014	Titular de la curul	Primera	1	32	ATENCIÓN:  Encarcelado por nexos con paramilitares.	Masculino	None	Circunscripción Territorial de Córdoba	Córdoba	nadie
817	Miguel	Pinedo Vidal	Pinedo Vidal, Miguel	Cambio Radical	Cambio Radical, Movimiento Renovador de Acción Social - Moral, Movimiento Renovador de Acción Social - Moral	Senado	51579	Titular de la curul	Primera	2	27	Atención: investigado por nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Magdalena	nadie
1255	Claudia Yadira Inés	Rodríguez de Castellanos	Rodríguez de Castellanos, Claudia Yadira Inés	Cambio Radical	Cambio Radical, Partido Social de Unidad Nacional - Partido de la U	Senado	57871	Titular de la curul	Séptima	9	58		Femenino	None	Circunscripción Nacional	Distrito Capital	nadie
47	Antonio del Cristo	Guerra de la Espriella	Guerra de la Espriella, Antonio del Cristo	Cambio Radical	Cambio Radical, Movimiento Nacional Progresista	Senado	53965	Titular de la curul	Segunda	2	54		Masculino	None	Circunscripción Nacional	Sucre	nadie
74	Juan Carlos	Restrepo Escobar	Restrepo Escobar, Juan Carlos	Cambio Radical	Cambio Radical, Liberal Colombiano	Cámara de Representantes	28333	Titular de la curul	Cuarta	1	15	Atención: en indagación preliminar por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Territorial de Cundinamarca	Cundinamarca	nadie
763	Plinio Edilberto	Olano Becerra	Olano Becerra, Plinio Edilberto	Cambio Radical	Cambio Radical, Liberal Colombiano, Liberal Colombiano-Partido Conservador Col, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	26272	Titular de la curul	Sexta	0	29		Masculino	None	Circunscripción Territorial de Bogotá	Distrito Capital	nadie
1253	Luis Carlos	Torres Rueda	Torres Rueda, Luis Carlos	Cambio Radical	Cambio Radical	Senado	66441	Titular de la curul		0	7	Atención: investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Meta	nadie
19	Bernabé	Celis Carrillo	Celis Carrillo, Bernabé	Cambio Radical	Cambio Radical, Liberal Colombiano	Cámara de Representantes	56511	Titular de la curul	Cuarta	2	11		Masculino	None	Circunscripción Territorial de Santander	Santander	nadie
1256	Mario	Londoño Arcila	Londoño Arcila, Mario	Cambio Radical	Cambio Radical	Senado	53016	Titular de la curul	Sexta	0	2	Falleció el 01 de mayo de 2007	Masculino	None	Circunscripción Nacional	Quindío	nadie
448	David	Char Navas	Char Navas, David	Cambio Radical	Cambio Radical, Liberal Colombiano	Cámara de Representantes	38768	Titular de la curul	Cuarta	0	8		Masculino	None	Circunscripción Territorial de Atlántico	Atlántico	nadie
679	Dieb Nicolás	Maloof Cusé	Maloof Cusé, Dieb Nicolás	Colombia Viva	Colombia Viva, Colombia Viva, Liberal Colombiano, Movimiento Integración Popular MIPOL	Senado	71510	Reemplazo permanente	Séptima	1	22		Masculino	None	Circunscripción Nacional	Atlántico	nadie
713	Habib	Merheg Marún	Merheg Marún, Habib	Colombia Viva	Colombia Viva, Colombia Viva, Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	60330	Titular de la curul	Segunda	1	39		Masculino	None	Circunscripción Nacional	Risaralda	nadie
963	Mario	Uribe Escobar	Uribe Escobar, Mario	Colombia Democrática	Colombia Democrática, Liberal Colombiano, Movimiento Renovador de Acción Social - Moral	Senado	42263	Titular de la curul	Quinta	6	9	DETENIDO y siendo investigado en el proceso por nexos con grupos armados ilegales. 	Masculino	None	Circunscripción Nacional	Antioquia	nadie
490	Miguel Alfonso	de la Espriella Burgos	de la Espriella Burgos, Miguel Alfonso	Colombia Democrática	Colombia Democrática, Liberal Colombiano, Movimiento de Inclusión y Oportunidades - MIO	Cámara de Representantes	60939	Titular de la curul	Primera	2	11	Atención: condenado por nexos con grupos armados ilegales	Masculino	None	Circunscripción Territorial de Córdoba	Córdoba	nadie
560	Álvaro Alfonso	García Romero	García Romero, Álvaro Alfonso	Colombia Democrática	Colombia Democrática, Movimiento Nacional Progresista	Senado	45475	Titular de la curul	Cuarta	0	5	Atención: Detenido por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Sucre	nadie
498	Iván	Díaz Mateus	Díaz Mateus, Iván	Conservador Colombiano-Pop.Col	Conservador Colombiano, Conservador Colombiano-Pop.Col	Cámara de Representantes	38231	Titular de la curul	Primera	0	10	Atención: perdida de la investidura por violación al régimen de inhabilidades	Masculino	None	Circunscripción Territorial de Santander	Santander	nadie
66	Jorge Hernando	Pedraza Gutiérrez	Pedraza Gutiérrez, Jorge Hernando	Conservador Colombiano-Pop.Col	Alas Equipo Colombia, Conservador Colombiano, Conservador Colombiano	Senado	43619	Reemplazo temporal	Quinta	0	0		Masculino	None	Circunscripción Nacional	Boyacá	nadie
20	Efraín José	Cepeda Sarabia	Cepeda Sarabia, Efraín José	Conservador Colombiano-Pop.Col	Conservador Colombiano, Movimiento Nueva Fuerza Democrática	Senado	38552	Titular de la curul	Cuarta	1	23		Masculino	None	Circunscripción Nacional	Atlántico	nadie
896	José Darío	Salazar Cruz	Salazar Cruz, José Darío	Conservador Colombiano-Pop.Col	Conservador Colombiano, Conservador Colombiano, Movimiento Unionista	Cámara de Representantes	29313	Titular de la curul	Primera	3	22		Masculino	None	Circunscripción Territorial de Cauca	Cauca	nadie
999	Alirio	Villamizar Afanador	Villamizar Afanador, Alirio	Conservador Colombiano-Pop.Col	Alas Equipo Colombia, Coalición, Conservador Colombiano	Cámara de Representantes	39064	Titular de la curul	Quinta	0	11		Masculino	None	Circunscripción Territorial de Santander	Santander	nadie
725	William Alfonso	Montes Medina	Montes Medina, William Alfonso	Conservador Colombiano-Pop.Col	Conservador Colombiano, Movimiento Nacional, Movimiento Nacional Conservador, Movimiento Nacional Conservador	Senado	66604	Titular de la curul	Quinta	0	11		Masculino	None	Circunscripción Nacional	Bolívar	nadie
680	Julio Alberto	Manzur Abdala	Manzur Abdala, Julio Alberto	Conservador Colombiano-Pop.Col	Conservador Colombiano	Senado	49133	Titular de la curul	Quinta	1	16		Masculino	None	Circunscripción Nacional	Córdoba	nadie
27	Juan Manuel	Corzo Román	Corzo Román, Juan Manuel	Conservador Colombiano-Pop.Col	Conservador Colombiano, Movimiento Nacional, Movimiento Nacional Conservador	Cámara de Representantes	35419	Titular de la curul	Tercera	0	11	Atención: Investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Territorial de Norte de Santander	Norte de Santander	nadie
99	Omar	Yepes Alzate	Yepes Alzate, Omar	Conservador Colombiano-Pop.Col	Conservador Colombiano	Senado	63694	Titular de la curul	Tercera	1	29		Masculino	None	Circunscripción Nacional	Caldas	nadie
33	Carlos Eduardo	Enríquez Maya	Enríquez Maya, Carlos Eduardo	Conservador Colombiano-Pop.Col	Conservador Colombiano	Cámara de Representantes	38077	Titular de la curul	Primera	0	18		Masculino	None	Circunscripción Territorial de Nariño	Nariño	nadie
842	Ciro	Ramírez Pinzón	Ramírez Pinzón, Ciro	Conservador Colombiano-Pop.Col	Conservador Colombiano, Conservador Colombiano, Conservador Colombiano	Senado	54091	Titular de la curul	Sexta	3	13	Atención: investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Boyacá	nadie
493	Jorge Ubeimar	Delgado Blandón	Delgado Blandón, Jorge Ubeimar	Conservador Colombiano-Pop.Col	Conservador Colombiano	Cámara de Representantes	40657	Titular de la curul	Cuarta	0	9		Masculino	None	Circunscripción Territorial de Valle del Cauca	Valle del Cauca	nadie
