id_congresista	nombres	apellidos	completo	partido	partidos_anteriores	camara	num_votos	tipo_periodo	comision	autorias_aprobadas	ponencias	investigado	genero	posicion_ideologica	dep_circuncripcion	dep_mayor_vot	reemplazo
6	Luis Élmer	Arenas Parra	Arenas Parra, Luis Élmer	Vanguardia Moral y Social Vamos Colombia	Partido Social de Unidad Nacional - Partido de la U, Partido Social de Unidad Nacional - Partido de la U, Vanguardia Moral y Social Vamos Colombia, Vanguardia Moral y Social Vamos Colombia	Senado	40289	Titular de la curul	Cuarta	3	20		Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
557	Carlos Armando	García Orjuela	García Orjuela, Carlos Armando	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	58974	Titular de la curul	Tercera	0	27	Atención: Condenado por nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Tolima	nadie
644	Zulema del Carmen	Jattin Corrales	Jattin Corrales, Zulema del Carmen	Liberal Colombiano	Liberal Colombiano, Movimiento Apertura Liberal, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	46544	Titular de la curul	Tercera	0	35		Femenino	None	Circunscripción Territorial de Córdoba	Córdoba	nadie
2600	José David	Name Cardozo	Name Cardozo, José David	Partido Social de Unidad Nacional - Partido de la U	Partido Social de Unidad Nacional - Partido de la U	Senado	82619	Titular de la curul	Quinta	1	29		Masculino	None	Circunscripción Nacional	Atlántico	nadie
992	Luis Guillermo	Vélez Trujillo	Vélez Trujillo, Luis Guillermo	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	41669	Titular de la curul	Tercera	1	20	Falleció el 06 de febrero de 2007	Masculino	None	Circunscripción Nacional	Antioquia	nadie
519	Manuel Mesías	Enríquez Rosero	Enríquez Rosero, Manuel Mesías	Partido Social de Unidad Nacional - Partido de la U	Convergencia Popular Cívica, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	49006	Titular de la curul	Séptima	3	31		Masculino	None	Circunscripción Territorial de Nariño	Nariño	nadie
59	Manuel Guillermo	Mora Jaramillo	Mora Jaramillo, Manuel Guillermo	Movimiento Apertura Liberal	Movimiento Apertura Liberal, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	39194	Reemplazo temporal	Quinta	0	2		Masculino	None	Circunscripción Territorial de Norte de Santander	Norte de Santander	nadie
88	Efraín	Torrado García	Torrado García, Efraín	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	None	Reemplazo temporal	Cuarta	0	0		Masculino	None	Circunscripción Nacional	Norte de Santander	nadie
612	Adriana	Gutiérrez Jaramillo	Gutiérrez Jaramillo, Adriana	Partido Social de Unidad Nacional - Partido de la U	Coalición, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	75349	Titular de la curul	Tercera	1	27		Femenino	None	Circunscripción Territorial de Caldas	Caldas	nadie
2488	Jairo Enrique	Merlano Fernández	Merlano Fernández, Jairo Enrique	Partido Social de Unidad Nacional - Partido de la U	Cambio Radical, Partido Social de Unidad Nacional - Partido de la U	Senado	50221	Titular de la curul	Cuarta	0	13		Masculino	None	Circunscripción Nacional	Sucre	nadie
